COD,Valor Pedido,Cidade,Data da Venda,COD Cliente
AB1019,5.0,Guarulhos,2017-01-01,128
AB1014,5.1,Rio de Janeiro,2017-01-01,326
AB1020,1.0,Goiânia,2017-01-01,425
AB1019,5.0,Guarulhos,2017-01-01,211
AB1005,3.0,São Paulo,2017-01-01,540
AB1002,5.0,Curitiba,2017-01-01,338
AB1012,4.3,Curitiba,2017-01-01,419
AB1023,5.0,Belo Horizonte,2017-01-01,357
AB1009,2.0,Belo Horizonte,2017-01-01,742
AB1001,5.0,Salvador,2017-01-01,168
AB1020,3.0,Porto Alegre,2017-01-01,525
AB1003,1.0,São Paulo,2017-01-01,698
AB1003,3.0,Curitiba,2017-01-01,442
AB1004,1.0,Belo Horizonte,2017-01-01,590
AB1015,3.0,São Paulo,2017-01-01,235
AB1018,2.0,Rio de Janeiro,2017-01-01,817
AB1011,1.0,Porto Alegre,2017-01-01,754
AB1009,1.0,Fortaleza,2017-01-01,609
AB1001,5.0,Niterói,2017-01-01,546
AB1002,2.0,Guarulhos,2017-01-01,101
AB1016,4.0,Recife,2017-01-01,144
AB1011,4.0,Salvador,2017-01-01,761
AB1012,4.0,Recife,2017-01-01,234
AB1005,2.0,Rio de Janeiro,2017-01-01,248
AB1010,4.0,Niterói,2017-01-01,671
AB1003,2.0,Rio de Janeiro,2017-01-01,326
AB1007,1.0,Fortaleza,2017-01-01,292
AB1017,3.0,Salvador,2017-01-01,594
AB1016,4.0,Campinas,2017-01-01,332
AB1011,1.0,Curitiba,2017-01-01,63
AB1021,1.9,Fortaleza,2017-01-01,468
AB1013,3.0,Recife,2017-01-01,304
AB1004,3.0,Recife,2017-01-01,297
AB1023,5.0,São Paulo,2017-01-01,312
AB1003,1.0,Fortaleza,2017-01-01,507
AB1010,2.0,Goiânia,2017-01-01,103
AB1018,3.0,Porto Alegre,2017-01-01,361
AB1008,4.0,Salvador,2017-01-01,646
AB1014,4.0,Fortaleza,2017-01-01,580
AB1024,4.0,Nova Iguaço,2017-01-01,516
AB1015,2.0,Fortaleza,2017-01-02,157
AB1006,3.0,Guarulhos,2017-01-02,272
AB1012,4.0,Recife,2017-01-02,244
AB1002,5.0,Rio de Janeiro,2017-01-02,326
AB1004,2.0,São Paulo,2017-01-02,312
AB1003,4.0,Goiânia,2017-01-02,188
AB1011,2.0,Campinas,2017-01-02,191
AB1019,3.0,Goiânia,2017-01-02,466
AB1018,4.0,Curitiba,2017-01-02,419
AB1017,3.0,Goiânia,2017-01-02,161
AB1005,4.0,São Paulo,2017-01-02,683
AB1022,5.0,Curitiba,2017-01-02,338
AB1003,2.0,Niterói,2017-01-02,434
AB1023,5.0,Belo Horizonte,2017-01-02,313
AB1023,2.0,Nova Iguaço,2017-01-02,25
AB1017,1.0,Guarulhos,2017-01-02,341
AB1001,1.0,Guarulhos,2017-01-02,41
AB1024,5.0,Fortaleza,2017-01-02,612
AB1003,4.0,Belo Horizonte,2017-01-02,590
AB1018,4.0,Rio de Janeiro,2017-01-02,652
AB1017,3.0,Belo Horizonte,2017-01-02,123
AB1006,3.0,Nova Iguaço,2017-01-02,51
AB1020,2.0,Goiânia,2017-01-02,527
AB1013,3.0,Porto Alegre,2017-01-02,353
AB1010,4.0,Curitiba,2017-01-02,619
AB1014,2.0,Nova Iguaço,2017-01-02,472
AB1021,4.0,Campinas,2017-01-02,191
AB1023,1.0,Salvador,2017-01-02,31
AB1005,3.0,São Paulo,2017-01-02,617
AB1005,2.0,Guarulhos,2017-01-02,399
AB1002,3.0,Campinas,2017-01-02,770
AB1008,3.0,Guarulhos,2017-01-02,101
AB1019,1.0,Rio de Janeiro,2017-01-02,771
AB1007,1.0,Rio de Janeiro,2017-01-03,134
AB1004,1.0,Recife,2017-01-03,197
AB1008,3.0,São Paulo,2017-01-03,209
AB1015,5.0,Curitiba,2017-01-03,412
AB1007,1.0,Campinas,2017-01-03,770
AB1019,4.0,Guarulhos,2017-01-03,440
AB1015,3.0,Salvador,2017-01-03,712
AB1002,4.0,Guarulhos,2017-01-03,241
AB1012,1.0,Curitiba,2017-01-03,93
AB1001,5.0,Salvador,2017-01-03,31
AB1004,5.0,Salvador,2017-01-03,90
AB1008,1.0,Belo Horizonte,2017-01-03,506
AB1014,5.0,Porto Alegre,2017-01-03,444
AB1023,1.0,Guarulhos,2017-01-03,260
AB1001,2.0,Porto Alegre,2017-01-03,453
AB1005,4.0,Guarulhos,2017-01-03,48
AB1010,1.0,Nova Iguaço,2017-01-03,402
AB1020,4.0,Recife,2017-01-03,304
AB1011,4.0,Porto Alegre,2017-01-03,592
AB1020,1.0,Recife,2017-01-03,509
AB1023,2.0,Fortaleza,2017-01-03,599
AB1004,3.0,Curitiba,2017-01-03,4
AB1011,2.0,Recife,2017-01-03,494
AB1011,3.0,Goiânia,2017-01-03,317
AB1015,5.0,Campinas,2017-01-03,659
AB1014,4.0,São Paulo,2017-01-03,312
AB1009,2.0,Goiânia,2017-01-03,177
AB1013,4.0,Rio de Janeiro,2017-01-03,325
AB1003,4.0,São Paulo,2017-01-03,382
AB1020,2.0,Curitiba,2017-01-03,560
AB1010,4.0,Goiânia,2017-01-03,182
AB1021,1.0,Guarulhos,2017-01-03,287
AB1015,5.0,Recife,2017-01-03,81
AB1021,1.0,Guarulhos,2017-01-03,102
AB1023,5.0,Rio de Janeiro,2017-01-04,213
AB1016,3.0,Rio de Janeiro,2017-01-04,377
AB1009,3.0,Recife,2017-01-04,197
AB1008,5.0,Curitiba,2017-01-04,526
AB1020,5.0,Porto Alegre,2017-01-04,453
AB1003,4.0,São Paulo,2017-01-04,753
AB1020,3.0,São Paulo,2017-01-04,608
AB1017,2.0,Campinas,2017-01-04,552
AB1010,2.0,Guarulhos,2017-01-04,610
AB1011,5.0,Curitiba,2017-01-04,758
AB1019,3.0,Campinas,2017-01-04,505
AB1004,3.0,Niterói,2017-01-04,381
AB1017,2.0,Guarulhos,2017-01-04,564
AB1005,3.0,Campinas,2017-01-04,431
AB1012,3.0,Guarulhos,2017-01-04,260
AB1004,4.0,Curitiba,2017-01-04,789
AB1010,1.0,Guarulhos,2017-01-04,561
AB1016,2.0,Curitiba,2017-01-04,741
AB1015,2.0,São Paulo,2017-01-04,446
AB1023,3.0,Niterói,2017-01-04,710
AB1015,4.0,Guarulhos,2017-01-04,74
AB1024,5.0,Guarulhos,2017-01-05,41
AB1012,4.0,Recife,2017-01-05,254
AB1015,2.0,Nova Iguaço,2017-01-05,649
AB1014,3.0,São Paulo,2017-01-05,382
AB1006,5.0,Porto Alegre,2017-01-05,624
AB1019,2.0,Nova Iguaço,2017-01-05,627
AB1011,3.0,São Paulo,2017-01-05,50
AB1007,2.0,Guarulhos,2017-01-05,101
AB1001,5.0,Rio de Janeiro,2017-01-05,259
AB1014,3.0,Curitiba,2017-01-05,240
AB1003,3.0,Nova Iguaço,2017-01-05,78
AB1015,3.0,São Paulo,2017-01-05,725
AB1007,5.0,Salvador,2017-01-05,245
AB1005,2.0,Fortaleza,2017-01-05,113
AB1005,3.0,Fortaleza,2017-01-05,471
AB1019,2.0,Curitiba,2017-01-05,789
AB1001,1.0,Rio de Janeiro,2017-01-05,405
AB1011,3.0,Salvador,2017-01-05,551
AB1023,4.0,Curitiba,2017-01-05,93
AB1012,5.0,Porto Alegre,2017-01-05,754
AB1002,1.0,São Paulo,2017-01-05,310
AB1002,4.0,Guarulhos,2017-01-05,122
AB1011,1.0,Niterói,2017-01-05,488
AB1011,1.0,Belo Horizonte,2017-01-05,190
AB1023,2.0,Niterói,2017-01-05,228
AB1006,5.0,Guarulhos,2017-01-05,403
AB1012,4.0,Goiânia,2017-01-05,762
AB1002,2.0,Fortaleza,2017-01-05,87
AB1016,2.0,Fortaleza,2017-01-05,687
AB1002,5.0,Curitiba,2017-01-05,442
AB1006,5.0,Campinas,2017-01-05,59
AB1022,3.0,Niterói,2017-01-05,464
AB1020,4.0,Nova Iguaço,2017-01-05,690
AB1003,4.0,Nova Iguaço,2017-01-05,452
AB1018,5.0,Nova Iguaço,2017-01-05,516
AB1017,4.0,São Paulo,2017-01-05,446
AB1004,2.0,Fortaleza,2017-01-05,279
AB1007,2.0,Rio de Janeiro,2017-01-05,326
AB1022,2.0,Recife,2017-01-05,322
AB1021,1.0,Guarulhos,2017-01-05,392
AB1009,5.0,Salvador,2017-01-05,264
AB1024,4.0,Rio de Janeiro,2017-01-05,537
AB1022,3.0,Goiânia,2017-01-06,88
AB1023,5.0,Belo Horizonte,2017-01-06,666
AB1009,3.0,Belo Horizonte,2017-01-06,23
AB1003,5.0,Porto Alegre,2017-01-06,795
AB1010,4.0,Curitiba,2017-01-06,478
AB1005,5.0,Recife,2017-01-06,555
AB1002,3.0,Niterói,2017-01-06,176
AB1006,3.0,Salvador,2017-01-06,551
AB1017,1.0,Recife,2017-01-06,513
AB1009,4.0,Guarulhos,2017-01-06,242
AB1015,2.0,Guarulhos,2017-01-06,337
AB1013,5.0,Salvador,2017-01-06,245
AB1012,5.0,Curitiba,2017-01-06,22
AB1024,5.0,Rio de Janeiro,2017-01-06,368
AB1020,2.0,Guarulhos,2017-01-06,153
AB1007,1.0,Niterói,2017-01-06,236
AB1002,3.0,São Paulo,2017-01-06,145
AB1017,4.0,Goiânia,2017-01-06,204
AB1021,3.0,Niterói,2017-01-06,632
AB1004,4.0,Rio de Janeiro,2017-01-06,499
AB1024,3.0,Porto Alegre,2017-01-06,416
AB1012,2.0,Salvador,2017-01-06,593
AB1016,1.0,Guarulhos,2017-01-06,62
AB1020,3.0,Salvador,2017-01-06,544
AB1009,2.0,Nova Iguaço,2017-01-06,591
AB1005,5.0,Nova Iguaço,2017-01-06,14
AB1003,1.0,Curitiba,2017-01-06,240
AB1020,2.0,Nova Iguaço,2017-01-06,574
AB1023,1.0,Guarulhos,2017-01-06,393
AB1016,1.0,Salvador,2017-01-06,252
AB1014,5.0,Guarulhos,2017-01-06,290
AB1002,5.0,São Paulo,2017-01-06,79
AB1023,5.0,Salvador,2017-01-07,100
AB1005,4.0,Belo Horizonte,2017-01-07,508
AB1004,3.0,Porto Alegre,2017-01-07,72
AB1023,4.0,Goiânia,2017-01-07,291
