COD;Valor Pedido;Cidade;Data da Venda;COD Cliente
AB1019;R$ 5,00;Guarulhos;01/01/2017;128
AB1014;R$ 5,10;Rio de Janeiro;01/01/2017;326
AB1020;R$ 1,00;Goiânia;01/01/2017;425
AB1019;R$ 5,00;Guarulhos;01/01/2017;211
AB1005;R$ 3,00;São Paulo;01/01/2017;540
AB1002;R$ 5,00;Curitiba;01/01/2017;338
AB1012;R$ 4,30;Curitiba;01/01/2017;419
AB1023;R$ 5,00;Belo Horizonte;01/01/2017;357
AB1009;R$ 2,00;Belo Horizonte;01/01/2017;742
AB1001;R$ 5,00;Salvador;01/01/2017;168
AB1020;R$ 3,00;Porto Alegre;01/01/2017;525
AB1003;R$ 1,00;São Paulo;01/01/2017;698
AB1003;R$ 3,00;Curitiba;01/01/2017;442
AB1004;R$ 1,00;Belo Horizonte;01/01/2017;590
AB1015;R$ 3,00;São Paulo;01/01/2017;235
AB1018;R$ 2,00;Rio de Janeiro;01/01/2017;817
AB1011;R$ 1,00;Porto Alegre;01/01/2017;754
AB1009;R$ 1,00;Fortaleza;01/01/2017;609
AB1001;R$ 5,00;Niterói;01/01/2017;546
AB1002;R$ 2,00;Guarulhos;01/01/2017;101
AB1016;R$ 4,00;Recife;01/01/2017;144
AB1011;R$ 4,00;Salvador;01/01/2017;761
AB1012;R$ 4,00;Recife;01/01/2017;234
AB1005;R$ 2,00;Rio de Janeiro;01/01/2017;248
AB1010;R$ 4,00;Niterói;01/01/2017;671
AB1003;R$ 2,00;Rio de Janeiro;01/01/2017;326
AB1007;R$ 1,00;Fortaleza;01/01/2017;292
AB1017;R$ 3,00;Salvador;01/01/2017;594
AB1016;R$ 4,00;Campinas;01/01/2017;332
AB1011;R$ 1,00;Curitiba;01/01/2017;63
AB1021;R$ 1,90;Fortaleza;01/01/2017;468
AB1013;R$ 3,00;Recife;01/01/2017;304
AB1004;R$ 3,00;Recife;01/01/2017;297
AB1023;R$ 5,00;São Paulo;01/01/2017;312
AB1003;R$ 1,00;Fortaleza;01/01/2017;507
AB1010;R$ 2,00;Goiânia;01/01/2017;103
AB1018;R$ 3,00;Porto Alegre;01/01/2017;361
AB1008;R$ 4,00;Salvador;01/01/2017;646
AB1014;R$ 4,00;Fortaleza;01/01/2017;580
AB1024;R$ 4,00;Nova Iguaço;01/01/2017;516
AB1015;R$ 2,00;Fortaleza;02/01/2017;157
AB1006;R$ 3,00;Guarulhos;02/01/2017;272
AB1012;R$ 4,00;Recife;02/01/2017;244
AB1002;R$ 5,00;Rio de Janeiro;02/01/2017;326
AB1004;R$ 2,00;São Paulo;02/01/2017;312
AB1003;R$ 4,00;Goiânia;02/01/2017;188
AB1011;R$ 2,00;Campinas;02/01/2017;191
AB1019;R$ 3,00;Goiânia;02/01/2017;466
AB1018;R$ 4,00;Curitiba;02/01/2017;419
AB1017;R$ 3,00;Goiânia;02/01/2017;161
AB1005;R$ 4,00;São Paulo;02/01/2017;683
AB1022;R$ 5,00;Curitiba;02/01/2017;338
AB1003;R$ 2,00;Niterói;02/01/2017;434
AB1023;R$ 5,00;Belo Horizonte;02/01/2017;313
AB1023;R$ 2,00;Nova Iguaço;02/01/2017;25
AB1017;R$ 1,00;Guarulhos;02/01/2017;341
AB1001;R$ 1,00;Guarulhos;02/01/2017;41
AB1024;R$ 5,00;Fortaleza;02/01/2017;612
AB1003;R$ 4,00;Belo Horizonte;02/01/2017;590
AB1018;R$ 4,00;Rio de Janeiro;02/01/2017;652
AB1017;R$ 3,00;Belo Horizonte;02/01/2017;123
AB1006;R$ 3,00;Nova Iguaço;02/01/2017;51
AB1020;R$ 2,00;Goiânia;02/01/2017;527
AB1013;R$ 3,00;Porto Alegre;02/01/2017;353
AB1010;R$ 4,00;Curitiba;02/01/2017;619
AB1014;R$ 2,00;Nova Iguaço;02/01/2017;472
AB1021;R$ 4,00;Campinas;02/01/2017;191
AB1023;R$ 1,00;Salvador;02/01/2017;31
AB1005;R$ 3,00;São Paulo;02/01/2017;617
AB1005;R$ 2,00;Guarulhos;02/01/2017;399
AB1002;R$ 3,00;Campinas;02/01/2017;770
AB1008;R$ 3,00;Guarulhos;02/01/2017;101
AB1019;R$ 1,00;Rio de Janeiro;02/01/2017;771
AB1007;R$ 1,00;Rio de Janeiro;03/01/2017;134
AB1004;R$ 1,00;Recife;03/01/2017;197
AB1008;R$ 3,00;São Paulo;03/01/2017;209
AB1015;R$ 5,00;Curitiba;03/01/2017;412
AB1007;R$ 1,00;Campinas;03/01/2017;770
AB1019;R$ 4,00;Guarulhos;03/01/2017;440
AB1015;R$ 3,00;Salvador;03/01/2017;712
AB1002;R$ 4,00;Guarulhos;03/01/2017;241
AB1012;R$ 1,00;Curitiba;03/01/2017;93
AB1001;R$ 5,00;Salvador;03/01/2017;31
AB1004;R$ 5,00;Salvador;03/01/2017;90
AB1008;R$ 1,00;Belo Horizonte;03/01/2017;506
AB1014;R$ 5,00;Porto Alegre;03/01/2017;444
AB1023;R$ 1,00;Guarulhos;03/01/2017;260
AB1001;R$ 2,00;Porto Alegre;03/01/2017;453
AB1005;R$ 4,00;Guarulhos;03/01/2017;48
AB1010;R$ 1,00;Nova Iguaço;03/01/2017;402
AB1020;R$ 4,00;Recife;03/01/2017;304
AB1011;R$ 4,00;Porto Alegre;03/01/2017;592
AB1020;R$ 1,00;Recife;03/01/2017;509
AB1023;R$ 2,00;Fortaleza;03/01/2017;599
AB1004;R$ 3,00;Curitiba;03/01/2017;4
AB1011;R$ 2,00;Recife;03/01/2017;494
AB1011;R$ 3,00;Goiânia;03/01/2017;317
AB1015;R$ 5,00;Campinas;03/01/2017;659
AB1014;R$ 4,00;São Paulo;03/01/2017;312
AB1009;R$ 2,00;Goiânia;03/01/2017;177
AB1013;R$ 4,00;Rio de Janeiro;03/01/2017;325
AB1003;R$ 4,00;São Paulo;03/01/2017;382
AB1020;R$ 2,00;Curitiba;03/01/2017;560
AB1010;R$ 4,00;Goiânia;03/01/2017;182
AB1021;R$ 1,00;Guarulhos;03/01/2017;287
AB1015;R$ 5,00;Recife;03/01/2017;81
AB1021;R$ 1,00;Guarulhos;03/01/2017;102
AB1023;R$ 5,00;Rio de Janeiro;04/01/2017;213
AB1016;R$ 3,00;Rio de Janeiro;04/01/2017;377
AB1009;R$ 3,00;Recife;04/01/2017;197
AB1008;R$ 5,00;Curitiba;04/01/2017;526
AB1020;R$ 5,00;Porto Alegre;04/01/2017;453
